category,datetime,headline,id,image,related,source,summary,url
company,1627626960,"Cerner reports Q2 adjusted EPS 80c, consensus 76c",69409153,,CERN,Thefly.com,"Reports revenue $1.457B, ... CERN",https://finnhub.io/api/news?id=8cc4bd36517f01c2c03d19988ed5d4f47ca8d4f64e8bdb458a1472e0c4a78f4b
company,1627619940,"Wilkins Investment Counsel Inc Buys Autodesk Inc, Gartner Inc, Splunk Inc",69420032,,CERN,GuruFocus,,https://finnhub.io/api/news?id=c7d72e6984e87f32c986f9694a8fcbd44791b7b228ac11dd0c282a372c4a8ea4
company,1627618380,"Earnings Scheduled For July 30, 2021",69405701,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1912.png,CERN,Benzinga," 
Companies Reporting Before The Bell
• Lexicon Pharmaceuticals (NASDAQ:LXRX) is estimated to report earnings for its second quarter.
• Embraer (NYSE:ERJ) is...",https://finnhub.io/api/news?id=274345b0d0c98f5084aa7ba2d98fd84f4d9bf018b5c23218d54d32bc04d3de13
company,1627616580,Cerner price target raised to $88 from $85 at Piper Sandler,69421318,,CERN,Thefly.com,Piper Sandler analyst Jef... CERN,https://finnhub.io/api/news?id=70c9b4cf302958bf1c4fe84c95f91a8af93ac1aa3ee498980ae2c8898c2b0862
company,1627604820,GLOBAL BRIEFING: Amazon.com quarterly revenue fails to impress,69404697,,CERN,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e35fbc01067fd9c957ba299a7ae4b6513ae018d59c343c654df794399abd585c
company,1627576980,"Cerner Corp. stock falls Thursday, underperforms market",69393058,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. slid 0.29% to $78.53 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=64c973ad4ab073ccda39595a2131a6c503979814bfb0133bf990ef9bcb9132b6
company,1627562340,Notable companies reporting before tomorrow's open,69404895,,CERN,Thefly.com,"Notable companies reporti... PG, XOM, ABBV, CVX, CHTR, CAT, CL, VFC, QSR, CERN, NWL",https://finnhub.io/api/news?id=601ff02332dc6d8b35fa2135aa1800d1e9d22b39849f17f5e6ca9bf570a9c44d
company,1627556340,Opinion: This eye-catching divergence in the stock market is a warning against complacency,69393060,https://images.mktw.net/im-348201/social,CERN,MarketWatch,The S&P 500's core outlook remains bullish.,https://finnhub.io/api/news?id=a2a6529afe2103f6b0500949bb8e452667dea2b7b9434f297a3a4f3a50b7dcbc
company,1627556340,Global company events calendar - next 7 days,69378291,,CERN,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d89a947be6a4963c96dc628d41663dbaa7a6a9f3676f95192645acd45a9fd378
company,1627490580,"Cerner Corp. stock falls Wednesday, underperforms market",69393062,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. slumped 0.74% to $78.76 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8a296377b94cffc2c138110d7bd04c93a5fe7dc4fcfc75254499910ace303549
